team,fgId,price
Mental Mocch Parygina,7126,62
Mental Mocch Parygina,6986,17
Mental Mocch Parygina,6884,49
Mental Mocch Parygina,6766,9
Mental Mocch Parygina,6675,185
Mental Mocch Parygina,6666,40
Mental Mocch Parygina,6663,14
Mental Mocch Parygina,6495,7
Mental Mocch Parygina,6398,21
Mental Mocch Parygina,6271,80
Mental Mocch Parygina,6190,2
Mental Mocch Parygina,6145,3
Mental Mocch Parygina,6125,1
Mental Mocch Parygina,6047,5
Mental Mocch Parygina,5992,3
Mental Mocch Parygina,5841,0
Mental Mocch Parygina,5831,40
Mental Mocch Parygina,5823,15
Mental Mocch Parygina,5504,8
Mental Mocch Parygina,5422,5
Mental Mocch Parygina,5298,7
Mental Mocch Parygina,4665,7
Mental Mocch Parygina,4657,8
Mental Mocch Parygina,4378,10
Mental Mocch Parygina,2722,1
Mental Mocch Parygina,2517,161
Mental Mocch Parygina,2167,101
Mental Mocch Parygina,254,115
Mental Mocch Parygina,133,17
AS TeamBarazzo,7211,6
AS TeamBarazzo,7070,24
AS TeamBarazzo,6867,3
AS TeamBarazzo,6642,20
AS TeamBarazzo,6572,50
AS TeamBarazzo,6042,10
AS TeamBarazzo,5994,16
AS TeamBarazzo,5851,24
AS TeamBarazzo,5835,15
AS TeamBarazzo,5739,5
AS TeamBarazzo,5685,85
AS TeamBarazzo,5544,200
AS TeamBarazzo,5527,11
AS TeamBarazzo,5498,8
AS TeamBarazzo,5471,12
AS TeamBarazzo,4777,82
AS TeamBarazzo,4686,44
AS TeamBarazzo,4433,18
AS TeamBarazzo,4431,67
AS TeamBarazzo,4427,34
AS TeamBarazzo,2297,15
AS TeamBarazzo,2155,8
AS TeamBarazzo,1933,8
AS TeamBarazzo,827,11
AS TeamBarazzo,785,46
AS TeamBarazzo,313,57
AS TeamBarazzo,188,1
AS TeamBarazzo,4,1
PORCODDUE,7202,4
PORCODDUE,7131,5
PORCODDUE,6895,12
PORCODDUE,6875,22
PORCODDUE,6717,7
PORCODDUE,6680,6
PORCODDUE,6669,15
PORCODDUE,6252,9
PORCODDUE,5844,10
PORCODDUE,5718,7
PORCODDUE,5688,7
PORCODDUE,5620,8
PORCODDUE,5603,2
PORCODDUE,5526,31
PORCODDUE,5427,8
PORCODDUE,5297,9
PORCODDUE,4510,181
PORCODDUE,4461,18
PORCODDUE,4459,7
PORCODDUE,4409,30
PORCODDUE,4312,42
PORCODDUE,4199,13
PORCODDUE,2816,59
PORCODDUE,2815,1
PORCODDUE,2764,322
PORCODDUE,2728,3
PORCODDUE,2077,9
PORCODDUE,632,121
A.C. PIEDIlugo,7175,8
A.C. PIEDIlugo,7162,1
A.C. PIEDIlugo,6916,19
A.C. PIEDIlugo,6462,8
A.C. PIEDIlugo,6434,59
A.C. PIEDIlugo,6365,193
A.C. PIEDIlugo,6226,97
A.C. PIEDIlugo,6206,12
A.C. PIEDIlugo,6046,11
A.C. PIEDIlugo,5998,4
A.C. PIEDIlugo,5885,21
A.C. PIEDIlugo,5858,20
A.C. PIEDIlugo,5840,39
A.C. PIEDIlugo,5719,4
A.C. PIEDIlugo,5589,21
A.C. PIEDIlugo,5578,20
A.C. PIEDIlugo,4772,31
A.C. PIEDIlugo,4374,5
A.C. PIEDIlugo,4360,1
A.C. PIEDIlugo,4179,24
A.C. PIEDIlugo,2848,25
A.C. PIEDIlugo,787,29
A.C. PIEDIlugo,779,11
A.C. PIEDIlugo,572,73
A.C. PIEDIlugo,513,10
A.C. PIEDIlugo,309,171
A.C. PIEDIlugo,152,15
A.C. PIEDIlugo,49,4
MIGNOTTINGHAM FOREST,7128,23
MIGNOTTINGHAM FOREST,7127,11
MIGNOTTINGHAM FOREST,6831,143
MIGNOTTINGHAM FOREST,6556,21
MIGNOTTINGHAM FOREST,6485,15
MIGNOTTINGHAM FOREST,6202,23
MIGNOTTINGHAM FOREST,6191,6
MIGNOTTINGHAM FOREST,6151,21
MIGNOTTINGHAM FOREST,5876,80
MIGNOTTINGHAM FOREST,5800,29
MIGNOTTINGHAM FOREST,5637,11
MIGNOTTINGHAM FOREST,5273,50
MIGNOTTINGHAM FOREST,5119,40
MIGNOTTINGHAM FOREST,5036,7
MIGNOTTINGHAM FOREST,4904,9
MIGNOTTINGHAM FOREST,4751,40
MIGNOTTINGHAM FOREST,4317,9
MIGNOTTINGHAM FOREST,4220,13
MIGNOTTINGHAM FOREST,4210,9
MIGNOTTINGHAM FOREST,4177,59
MIGNOTTINGHAM FOREST,2765,20
MIGNOTTINGHAM FOREST,2423,78
MIGNOTTINGHAM FOREST,2061,30
MIGNOTTINGHAM FOREST,788,14
MIGNOTTINGHAM FOREST,608,19
MIGNOTTINGHAM FOREST,393,15
MIGNOTTINGHAM FOREST,252,10
MIGNOTTINGHAM FOREST,218,1
SALISBURRO,7203,44
SALISBURRO,7181,50
SALISBURRO,7170,1
SALISBURRO,6889,13
SALISBURRO,6653,6
SALISBURRO,6632,23
SALISBURRO,6629,25
SALISBURRO,6531,23
SALISBURRO,6106,40
SALISBURRO,6066,6
SALISBURRO,5792,62
SALISBURRO,5687,17
SALISBURRO,5520,42
SALISBURRO,5116,7
SALISBURRO,4976,11
SALISBURRO,4892,4
SALISBURRO,4730,106
SALISBURRO,4502,5
SALISBURRO,4364,14
SALISBURRO,4359,13
SALISBURRO,2788,60
SALISBURRO,2670,15
SALISBURRO,2606,42
SALISBURRO,2428,94
SALISBURRO,2296,35
SALISBURRO,2137,105
SALISBURRO,2097,21
Pelatasaray,7220,4
Pelatasaray,7179,9
Pelatasaray,7136,21
Pelatasaray,7132,21
Pelatasaray,6985,6
Pelatasaray,6802,11
Pelatasaray,6646,36
Pelatasaray,6631,33
Pelatasaray,6549,9
Pelatasaray,5877,20
Pelatasaray,5850,9
Pelatasaray,5735,5
Pelatasaray,5540,3
Pelatasaray,5514,12
Pelatasaray,5320,1
Pelatasaray,5319,38
Pelatasaray,5022,21
Pelatasaray,4871,370
Pelatasaray,4870,7
Pelatasaray,4734,12
Pelatasaray,4463,7
Pelatasaray,4401,30
Pelatasaray,4385,7
Pelatasaray,4186,20
Pelatasaray,2170,43
Pelatasaray,536,46
Pelatasaray,531,81
Due fratelli e un garpez,6989,4
Due fratelli e un garpez,6957,3
Due fratelli e un garpez,6894,12
Due fratelli e un garpez,6893,8
Due fratelli e un garpez,6684,15
Due fratelli e un garpez,6424,1
Due fratelli e un garpez,6184,1
Due fratelli e un garpez,6164,18
Due fratelli e un garpez,5833,10
Due fratelli e un garpez,5813,3
Due fratelli e un garpez,5791,13
Due fratelli e un garpez,5750,15
Due fratelli e un garpez,5678,23
Due fratelli e un garpez,5513,33
Due fratelli e un garpez,5500,8
Due fratelli e un garpez,5453,34
Due fratelli e un garpez,4957,4
Due fratelli e un garpez,4465,2
Due fratelli e un garpez,2841,100
Due fratelli e un garpez,2724,50
Due fratelli e un garpez,2640,30
Due fratelli e un garpez,2593,5
Due fratelli e un garpez,2529,22
Due fratelli e un garpez,2521,20
Due fratelli e un garpez,2194,140
Due fratelli e un garpez,2160,30
Due fratelli e un garpez,2038,25
Due fratelli e un garpez,647,44
Due fratelli e un garpez,158,1
Castel di Sangro,7017,7
Castel di Sangro,6869,22
Castel di Sangro,6814,3
Castel di Sangro,6519,1
Castel di Sangro,6482,1
Castel di Sangro,6435,25
Castel di Sangro,6417,1
Castel di Sangro,6219,13
Castel di Sangro,6010,23
Castel di Sangro,5995,95
Castel di Sangro,5872,8
Castel di Sangro,5559,16
Castel di Sangro,5010,9
Castel di Sangro,4994,10
Castel di Sangro,4887,49
Castel di Sangro,4423,11
Castel di Sangro,4287,16
Castel di Sangro,2814,45
Castel di Sangro,2531,311
Castel di Sangro,2279,4
Castel di Sangro,2188,7
Castel di Sangro,2120,70
Castel di Sangro,1870,79
Castel di Sangro,791,7
Castel di Sangro,554,9
Castel di Sangro,418,3
Castel di Sangro,322,9
Castel di Sangro,27,4
Papiri & Astrini,7155,5
Papiri & Astrini,7146,9
Papiri & Astrini,7139,3
Papiri & Astrini,7135,14
Papiri & Astrini,7129,9
Papiri & Astrini,7120,75
Papiri & Astrini,7071,9
Papiri & Astrini,7068,39
Papiri & Astrini,7023,41
Papiri & Astrini,7008,160
Papiri & Astrini,6967,13
Papiri & Astrini,6966,5
Papiri & Astrini,6956,5
Papiri & Astrini,6908,6
Papiri & Astrini,6898,4
Papiri & Astrini,6722,49
Papiri & Astrini,6672,5
Papiri & Astrini,6664,41
Papiri & Astrini,6641,8
Papiri & Astrini,6217,15
Papiri & Astrini,6215,22
Papiri & Astrini,5888,25
Papiri & Astrini,5862,7
Papiri & Astrini,5734,26
Papiri & Astrini,5562,39
Papiri & Astrini,5318,40
Papiri & Astrini,4896,38
Papiri & Astrini,2134,11
Papiri & Astrini,460,20
Papiri & Astrini,22,8